program_id,program_name,acronym,duration_months,ects,consortium,website,field,degree_requirement,accepted_fields,cgpa_gpa,english_requirement,english_exemptions,work_experience,application_deadline,selection_process,scholarship,requirement_text_raw
30,"Erasmus Mundus Joint Master in Animal Biodiversity and Genomics","EMABG",24,120,"University of Natural Resources and Life Sciences (BOKU, Austria), Swedish University of Agricultural Sciences (SLU, Sweden), Wageningen University (Netherlands), AgroParisTech (France), University of Göttingen (Germany), Norwegian University of Life Sciences (NMBU, Norway)","https://emabg.boku.ac.at","Animal Biodiversity & Genomics","Bachelor's degree (≥180 ECTS) in animal sciences, biology, or related","Animal sciences, veterinary, biology, agriculture, biotechnology","Good academic standing required","IELTS/TOEFL proficiency (program in English)","English-medium degrees","NOT required; research experience valued","Typically January-March (check site for 2026-2028 cohort)","Online application with transcripts, motivation letter, CV, references; students study at two universities with joint events; double degree awarded","Erasmus Mundus scholarships (€1400/month + tuition waiver + travel)","EMABG open for motivated students with Animal Sciences, biology or related background. Knowledge in basics of animal production (breeding, nutrition, husbandry). 2-year programme at two of six consortium universities."
31,"Erasmus Mundus Joint Master Excellence in Analytical Chemistry","EACH",24,120,"University of Tartu (Estonia, coordinator - Year 1), Uppsala University (Sweden - Year 2), Université Claude Bernard Lyon 1 (France), Åbo Akademi University (Finland)","https://each.ut.ee","Analytical Chemistry","Bachelor's degree (≥180 ECTS) in chemistry, related natural/technical sciences","Chemistry, biochemistry, materials science, pharmacy, environmental science","Good academic record required","TOEFL iBT ≥90 / IELTS ≥6.5 (no band <5.5)","English-medium instruction certificate","NOT required","EM scholarship: Jan 5, 2026; Study place: Feb 5, 2026","Online application; all Year 1 in Tartu; Year 2 specialization choice; double degrees awarded","Erasmus Mundus scholarships (€1400/month + tuition waiver + travel); funded for 2026-2030 intakes","Bachelor's in chemistry or related field (180 ECTS minimum). Year 1: Tartu. Year 2: Uppsala/Sweden/France/Finland. Double MSc degrees. EM scholarship deadline Jan 5, study place Feb 5, 2026."
32,"Erasmus Mundus Joint Master Degree in European Forestry","MSc EF",24,120,"University of Eastern Finland (coordinator), AgroParisTech (France), University of Freiburg (Germany), University of Lleida (Spain), University of Natural Resources and Life Sciences Vienna (Austria), Transilvania University of Brasov (Romania)","https://sites.uef.fi/europeanforestry/","Forest Management & Bioeconomy","Bachelor's degree in forest sciences or related discipline","Forestry, environmental science, agriculture, biology","Good academic record required","English proficiency (IELTS/TOEFL standard)","English-medium degrees","NOT required","December 15, 2025 - January 21, 2026 via Studyinfo.fi","Online application through Finnish portal; Year 1 joint modules, Year 2 specialization; joint/double degrees awarded","Erasmus Mundus scholarships (€1400/month + full tuition waiver + travel for top applicants)","Bachelor's in forest sciences or related field. Apply via Studyinfo.fi 15 Dec-21 Jan 2026. 6 European universities. Sustainable forest bioeconomy focus. €1400/month + tuition waiver."
33,"Erasmus Mundus Joint Master in Clinical Linguistics","EMCL",24,120,"University of Eastern Finland (Finland), Ghent University (Belgium), University of Groningen (Netherlands) + 26 associated partners","https://www.emcl.eu","Clinical Linguistics & Neuroscience","Bachelor's degree in linguistics, cognitive science, or related","Linguistics, psychology, speech therapy, neuroscience","Highly talented/motivated students targeted","English proficiency required (all instruction in English)","English-medium degrees","NOT required","December 15, 2025","Online application; modules in language/culture, methods, clinical/neuro linguistics, neurotechnology; internship + thesis; joint MSc degree","Erasmus Mundus scholarships funding top students for research/PhD/industry paths","EMCL-25 is 24-month, 120 ECTS research master's in clinical linguistics, neurolinguistics, psycholinguistics. Application open until December 15, 2025."
34,"Erasmus Mundus Joint Master Choreomundus","Choreomundus",24,120,"Vytautas Magnus University (Lithuania, coordinator), National Kapodistrian University of Athens (Greece), University of Clermont Auvergne (France), University of Roehampton (UK)","https://choreomundus.org","Dance Anthropology & Heritage","Bachelor's (180 ECTS) or Master's (120 ECTS) from recognized institution","Humanities/social sciences (dance, anthropology, folklore, theatre, music, cultural studies)","Minimum C average (ECTS scale) or equivalent","IELTS 6.5 overall (no band <5.5)","NOT explicitly stated","Relevant professional experience considered for non-traditional backgrounds","Opens November 1, 2025 (check site for close date)","Online application (40% degree, 30% CV/dance expertise via video/essay, 30% motivation); 2 recommendation letters; possible Skype interview; full mobility across 4 countries","Erasmus Mundus scholarships (€1400/month + tuition waiver + travel)","First degree (180 ECTS) or second degree (120 ECTS) in Humanities/Social Sciences. Dance expertise via video (3 min), essay (3 pages), or publication. IELTS 6.5. Two recommendation letters."
35,"Erasmus Mundus International Master in Security, Intelligence, and Strategic Studies","IMSISS",24,120,"University of Glasgow (UK), Dublin City University (Ireland), Charles University (Czech Republic), University of Trento (Italy)","https://www.securityintelligence-erasmusmundus.eu","Security Studies & Intelligence","Bachelor's degree in relevant social science/humanities field","International relations, politics, history, law, security studies","2:1 honours (UK) or equivalent GPA required","IELTS 6.5 (no subscore <6.0) or TOEFL equivalent","English-medium degrees from certain countries","NOT required but relevant experience valued","Check site (typically Jan-Mar for EM scholarships)","Online application with transcripts, CV, personal statement, references; Year 1 core modules, Year 2 specialization + dissertation/placement","Erasmus Mundus scholarships (tuition waiver + €1400/month + travel)","2-year EMJM by Glasgow, DCU, Charles University, Trento. Terrorism, cyber security, migration, organized crime. Bachelor's in social sciences/politics required (2:1 honours equivalent). Full mobility across 4 countries."
36,"Erasmus Mundus Joint Master InterMaths","InterMaths",24,120,"University of L'Aquila (Italy), TU Wien (Austria), TU Hamburg (Germany), Universitat Autònoma de Barcelona (Spain), Université Côte d'Azur (France)","https://www.intermaths.eu","Interdisciplinary Mathematics","Bachelor's (≥180 ECTS) in Mathematics, Physics, Engineering, Computer Science","Mathematics/Applied Math, Physics, Engineering, Computer Science","Good academic record","CEFR B2/C1 (IELTS/TOEFL/PTE)","English-medium degrees","NOT required","February 25, 2026","Online application; Year 1 at chosen entry university, Year 2 specialization; joint Master degree","20 full EMJM scholarships (€33,600 total coverage)","Bachelor's in Math/Physics/Engineering/CS (180 ECTS). Advanced English B2/C1. 5 EU universities. Modelling/simulation for biomedicine/industry. Deadline Feb 25, 2026. 20 full scholarships."
37,"Erasmus Mundus Joint Master GEM","GEM",24,120,"University of Twente/ITC (Netherlands), Lund University (Sweden), University of Tartu (Estonia), Ghent University (Belgium)","https://www.gem-msc.eu","Geo-Information & Earth Observation","Bachelor's degree (≥180 ECTS) in relevant field","Environmental science, geography, GIS, agriculture, forestry, biology","First/Upper Second Class (2:1) or equivalent","IELTS/TOEFL proficiency required","English-medium degrees","Advantage but not mandatory","January 14-15, 2026","Online application via program portal; choose specialization track; study across 2+ countries; double degree awarded","Full Erasmus Mundus scholarships (tuition waiver + living allowance + travel/insurance)","Bachelor's (First/2:1 equivalent) in environmental sciences/GIS/geography. IELTS/TOEFL required. GIS programming, geospatial AI, Earth observation. 4 tracks. Deadline Jan 15, 2026."
38,"Erasmus Mundus Joint Master Neurasmus","Neurasmus",24,120,"Université de Bordeaux (France, coordinator), plus partner universities across Europe and Canada","https://www.neurasmus.u-bordeaux.fr","Neuroscience","Bachelor's degree in natural sciences or related","Biology, chemistry, medicine, psychology","Strong academic record required","IELTS 6.5 (no band <6), TOEFL iBT 93, or equivalent","English-medium degrees or native speakers","NOT required","Check key dates on site (typically Jan-Feb for scholarships)","Online application with transcripts, CV, motivation, references, English proof; lab rotations/internships; joint/multiple degrees","Erasmus Mundus scholarships for Partner/Programme country students (tuition waiver + €1400/month + travel)","Bachelor's in natural sciences (biology/chemistry/medicine/psychology). IELTS 6.5/TOEFL iBT 93. Strong GPA/transcripts. 2-year program with international mobility, lab rotations, interdisciplinary neuroscience training."
39,"DocNomadsPLUS - Documentary Filmmaking","DocNomadsPLUS",24,120,"Universidade Lusófona (Lisbon, Portugal), Lithuanian Academy of Music and Theatre (Vilnius, Lithuania), LUCA School of Arts (Brussels, Belgium)","https://www.docnomadsplus.eu","Documentary Filmmaking","Bachelor's degree in film, audiovisual arts, media, communication, or equivalent artistic background","Film studies, arts, media, communication; strong artistic portfolios prioritized","NOT explicitly stated - artistic potential primary","English proficiency (all instruction in English)","NOT explicitly stated","Professional portfolio (1-min motivation film + 3-min documentary) required","January 20, 2026 (scholarship); opens October 20, 2025","Two phases: document/film assessment, online interviews; cohort ~24 students; mobility: Lisbon (S1), Vilnius (S2), Brussels (S3), final film project (S4)","Erasmus Mundus scholarships (full tuition waiver + €1,400/month + travel/insurance)","EMJM in Documentary Filmmaking. 2-year program: Lisbon-Vilnius-Brussels. Cohort 24 diverse students. Portfolio: 1-min motivation film + 3-min documentary. Scholarship deadline Jan 20, 2026."
40,"Erasmus Mundus Joint Master imAGEin","imAGEin",24,120,"Université Côte d'Azur (France), Sorbonne Université (France), University of Cologne (Germany), University of Seville (Spain), University of Coimbra (Portugal)","https://life.univ-cotedazur.eu/international/imagein","Biology of Ageing","Bachelor's degree in STEM field","Biology, biochemistry, molecular biology, biomedical sciences","Strong academic record required","English proficiency required (programme in English)","NOT explicitly stated","NOT required","Opens January 6, 2026","Online eCandidat platform; mandatory mobility (30 ECTS minimum in different country); choose Year 1/Year 2 host university; 15 scholarships per cohort","15 EMJM scholarships (€1400/month for 24 months + tuition waiver)","2-year EMJM in Ageing Biology for STEM Bachelor's holders. Partners: Côte d'Azur, Sorbonne, Cologne, Seville, Coimbra. Applications open Jan 6, 2026. 15 scholarships (1400€/month)."
41,"Erasmus Mundus Joint Master LIVE","LIVE",24,120,"Universitat Autònoma de Barcelona & University of Barcelona (Spain), University of Antwerp (Belgium), Université Jean Monnet Saint-Étienne (France), Université de Lyon (France)","https://masterlive-vaccinology.eu","Vaccinology","Bachelor's degree in health/life sciences","Medicine, biology, pharmacy, biomedical sciences, veterinary","Good academic record required","IELTS/TOEFL proficiency (programme in English)","English-medium degrees","NOT required but valued","Typically January (check site; previous closed Jan 21)","Online application via consortium portal; mobility across Spain/Belgium/France; multidisciplinary training with industry/academic networks","Erasmus Mundus scholarships (tuition waiver + €1400/month + travel)","EMJM LIVE: 2-year MSc in vaccinology by UAB/UB (Spain), UAntwerp (Belgium), UJM Lyon (France). Immunology/infectiology/vaccine R&D. Bachelor's in health sciences. Prepares for pharma/research/public health careers."
42,"Erasmus Mundus Joint Master GLOCAL","GLOCAL",24,120,"University of Glasgow (UK, lead), Universitat de Barcelona (Spain), Erasmus University Rotterdam (Netherlands), University of Göttingen (Germany), University of Uppsala (Sweden), plus associates","https://globallocal-erasmusmundus.eu","Global Economy & Creative Industries","Bachelor's degree in social sciences/humanities","Economics, business, history, politics, cultural studies","Good academic record (2:1 honours equivalent)","IELTS 6.5+ or TOEFL equivalent","English-medium degrees","NOT required but valued","Check site (typically Jan-Mar for scholarships; renewed EU funding confirmed)","Online application; pathways across 4+ universities; summer school; placements/consultancy projects; multiple degrees awarded","Erasmus Mundus scholarships (€1400/month + tuition waiver + travel; renewed for 2025+)","2-year EMJMD by 7-university consortium. Local competitiveness in global markets (creative industries, cities, entrepreneurship). Bachelor's in social sciences. Full mobility."
43,"Erasmus Mundus Joint Master M3EP","M3EP",24,120,"University of Copenhagen (Denmark - Year 1), Heidelberg University (Germany), University of Milan (Italy), Charles University (Czech Republic), University of Warsaw (Poland)","Check 4EU+ alliance sites or erasmus-plus.ec.europa.eu","Environmental Economics & Policy","Bachelor's degree in economics, political science, or related","Economics, environmental science, political science, related social sciences","Good academic record required","IELTS/TOEFL proficiency (programme in English)","English-medium degrees","NOT required","Typically January (check University of Copenhagen site)","Online application; Year 1 foundations in Copenhagen, Year 2 specialization (e.g., climate economics Milan, green transition Prague); double degree awarded","Erasmus Mundus scholarships (€1400/month + tuition waiver + travel)","2-year EMJMD by 4EU+ universities. Year 1: Copenhagen. Year 2 specializations: Heidelberg, Milan (Climate/Energy), Prague (Green Transition), Warsaw (Just Transition). Green policy careers."
44,"Erasmus Mundus Joint Master IMLEX","IMLEX",24,120,"University of Eastern Finland (Finland - S1), KU Leuven (Belgium - Lighting track S2), Université Jean Monnet (France - Computational Imaging S2), Toyohashi University of Technology (Japan - S3)","https://www.imlex.org","Imaging & Extended Reality","Bachelor's in Computer Science, IT, Electrical Engineering, Photonics","Engineering, physics, computer science, related technical fields","Good academic record","IELTS/TOEFL proficiency","English-medium degrees","NOT required","January 21, 2026 (3 p.m. EET) via Studyinfo.fi","Online application; S1 fundamentals Finland → S2 track choice (Belgium/France) → S3 Japan → S4 thesis; EMJM scholarships for top applicants","Full Erasmus Mundus scholarships available","IMLEX EMJM: S1 UEF Finland, S2 KU Leuven (Lighting) or UJM France (Imaging), S3 Toyohashi Japan, S4 thesis. Bachelor's CS/IT/EE/Photonics. Deadline Jan 21, 2026. XR imaging/lighting/photonics."
45,"Erasmus Mundus Joint Master EPOG-JM","EPOG-JM",24,120,"11 institutions across 7 countries (University of Vienna (Austria), University of Rome 3 (Italy), Sorbonne University (France), Berlin School of Economics, University of Turin (Italy))","https://www.wu.ac.at/en/programs/masters-programs/socio-ecological-economics-and-policy/epog-jm","Economic Policy & Sustainability","Bachelor's degree (180 ECTS) in economics or related field","Economics, political science, related social sciences","Good academic record required","English proficiency + basic French; IELTS/TOEFL standard","English-medium degrees","NOT required","January 29, 2026","Online application; choose Major A/B/C determining Year 1 host; interdisciplinary/pluralist; joint degree from multiple partners","Erasmus Mundus scholarships for top students (2-year: tuition waiver + €1400/month + travel)","EPOG-JM EMJMD: Bachelor's in economics (180 ECTS). English + basic French. 3 majors: A-Innovation/digital, B-Macroeconomics/finance, C-Sustainable development. 11 partners, 7 countries. Deadline Jan 29, 2026."
46,"Erasmus Mundus Joint Master iPSRS","iPSRS",24,120,"Université Jean Monnet Saint-Étienne (France, coordinator), University of Eastern Finland, Vilnius University (Lithuania), Université Paris-Est Créteil (France)","https://www.master-photonics4security.eu","Intelligent Photonics","Bachelor's degree (≥180 ECTS)","Physics, photonics, engineering, computer science, applied mathematics","Outstanding academic record","English proficiency (IELTS/TOEFL standard)","English-medium degrees","NOT required","Scholarship: February 8, 2026; Self-funded: April 15, 2026","Online application; mobility across France/Finland/Lithuania; hands-on labs, industry internships; prepares for R&D in photonics/AI","80 EMJM scholarships over 2024-2030 (€1400/month + tuition waiver + travel/insurance); zero tuition for self-funded","iPSRS EMJM (2024-2030): Physics/photonics/engineering/CS. Combines photonics+AI for security/sensing/sustainability. 80 scholarships (€1400/month). Self-funded deadline April 15, 2026 (zero tuition)."
47,"Erasmus Mundus Joint Master EU-HEM","EU-HEM",24,120,"University of Bologna (Italy), Erasmus University Rotterdam (Netherlands), University of Oslo (Norway), MCI Innsbruck (Austria)","https://eu-hem.eu","Health Economics & Management","Bachelor's degree in relevant field","Health sciences, economics, social sciences, management","Good academic record required","English proficiency (IELTS/TOEFL standard)","English-medium degrees","NOT required but valued","April 22, 2026 (EEA); check site for non-EEA","Online application via University of Oslo; Year 1 core, Year 2 specializations (Bologna, Oslo, Innsbruck, Rotterdam), thesis","Erasmus+ grants (€300-480/month + travel); full scholarships for top students","2-year joint MSc by Bologna, Rotterdam, Oslo, MCI Innsbruck. Tracks: Economics/Policy, Economic Evaluation, Healthcare Management, Population Health. Joint diploma supplement."
48,"Erasmus Mundus Joint Master MIPDAL","MIPDAL",12,60,"TU Dresden (Germany, coordinator), Tallinn University of Technology (Estonia), Carlos III University of Madrid (Spain), CEIPI Strasbourg (France), University of Exeter (UK), Queen Mary University of London (UK)","https://mipdal.eu","Intellectual Property & Data Law","Bachelor's + prior Master's or 240 ECTS total in law","Law (focus on IP/technology preferred)","Outstanding academic record","English proficiency (multilingual: English/French/Spanish)","NOT explicitly stated","NOT required","January 15, 2026 (scholarships)","Semester 1 foundations; Semester 2 specialization tracks (Creative Industries, Industrial Property, IT/Data Law); dual degree awarded","Erasmus Mundus scholarships available (full coverage for top applicants)","MIPDAL EMJM: 1-year Master's 2 (240 ECTS total). Law graduates for IP/Data careers. Semester 1 foundations, Semester 2 tracks. Partners: Dresden (coord), Tallinn, Madrid, Strasbourg, Exeter, London. Deadline Jan 15, 2026."
49,"Erasmus Mundus Joint Master ResFut","ResFut",24,120,"LUCA School of Arts (Belgium), Universidade Lusófona (Portugal), University of the Arts London (UK)","https://www.response-able-futures.eu","Design for Healthcare","Bachelor's (EQF Level 6) in design-related field","Design, arts; no prior healthcare experience needed","NOT explicitly stated - passion for equity prioritized","English proficiency required","NOT stated","NOT required; portfolio/motivation key","Check site (21 students/cohort; full scholarships available)","Online application with transcripts, portfolio; mobility across Belgium/Portugal/UK; themes: care communities, communication, systems","Erasmus Mundus (€1400/month x24 + tuition waiver for selected students)","2-year EMJM for designers passionate about healthcare equity. Max 21 students. BA in design-related field. Belgium/Portugal/UK. Inclusive design for care challenges. Full scholarships cover living/travel."
50,"European Master on Control of Renewable Energy Systems","EU-CORE",24,120,"École Centrale de Nantes (France - S1), University of Zagreb (Croatia - S2), Brandenburg University of Technology (Germany - S3), >15 associated partners","https://master-eu-core.ec-nantes.fr","Renewable Energy Control Systems","Bachelor's degree (≥180 ECTS) completed before programme start","Electrical engineering, control/automation, power systems, mechatronics","NOT explicitly stated","TOEFL CBT ≥220 / ITP ≥550 / iBT ≥80 or equivalent","Native speakers","NOT required","Check site (typically annual calls Oct-Feb)","Online application; fixed mobility: S1 Nantes (Wind/Control), S2 Zagreb (Grid/Predictive), S3 BTU (Solar/Hydrogen), S4 thesis (industry/research)","Erasmus Mundus scholarships (tuition waiver + €1400/month + travel)","EU-CORE trains top-level engineers for advanced control of all RES. 2-year EMJM: S1 France, S2 Croatia, S3 Germany. Bachelor's in EE/control/power (180 ECTS). TOEFL iBT 80+. Green Deal energy transition."
51,"Erasmus Mundus Joint Master SUSTAGRI","SUSTAGRI",24,120,"Universidad Pública de Navarra (Spain - S1), Universidade de Trás-os-Montes e Alto Douro (Portugal - S2), Agricultural University of Athens (Greece - S3)","https://sustagri-em.eu","Sustainable Agriculture & Technology","Bachelor's degree in engineering or related","Agricultural engineering, bio-resources engineering","NOT explicitly stated","English proficiency (programme in English)","English-medium degrees","NOT required","January 15, 2026","Online application; mobility across Spain/Portugal/Greece; multidisciplinary tech integration for agriculture; 20 scholarships","20 Erasmus Mundus scholarships (€1400/month x24 + tuition waiver)","SUSTAGRI EMJM starts Sept 2025: S1 Spain, S2 Portugal, S3 Greece. Engineering graduates for precision/smart agriculture. 20 full scholarships (€1400/month). Precision ag, smart irrigation, modeling, data analytics. Deadline Jan 15, 2026."
52,"Erasmus Mundus Joint Master SERP+","SERP+",24,120,"Université Paris-Saclay (France - S1), Aix-Marseille Université (France - S2) or University of Porto (Portugal - S2), University of Geneva (Switzerland - Year 2 option), McGill University (Canada - Year 2 option)","https://www.master-serp.eu","Surface & Photo-Chemistry","Bachelor's degree (≥180 ECTS) in chemistry/physical-chemistry","Chemistry, physical chemistry, materials science","Good academic record required","English proficiency required","English-medium degrees","NOT required","Check site (typically Jan-Feb for scholarships)","Online application; S1 UPSaclay, S2 AMU/Porto, Year 2 specialization (UniGe, UPSaclay, McGill); data science winter school, management summer school","Erasmus Mundus scholarships (€1400/month + tuition waiver + travel); renewed 2024","SERP+ EMJM: 2-year chemistry/physical-chemistry/materials science. S1 Paris-Saclay, S2 Marseille/Porto, Year 2 Geneva/Paris-Saclay/McGill. Sustainable energy/health/environment. Data science + management schools."
53,"Erasmus Mundus Joint Master TCCM","TCCM",24,120,"Universidad Autónoma de Madrid (Spain, coordinator), University of Barcelona (Spain), KU Leuven (Belgium), University of Groningen (Netherlands), Université Paul Sabatier Toulouse III (France), Università degli Studi di Perugia (Italy), Universitat de València (Spain)","https://www.emtccm.org","Theoretical Chemistry & Computational Modelling","Bachelor's (≥180 ECTS) in Chemistry, Physics, Materials Science","Chemistry, Physics, Materials Science, related scientific fields","Good academic record required","English proficiency (IELTS/TOEFL standard)","English-medium degrees","NOT required","February 2, 2026 (EM scholarships)","Online application Nov 3-Feb 2; Stage 1 concepts/methods + intensive summer course; Stage 2 tutorials + thesis at partner; rotating intensive course locations","Erasmus Mundus scholarships (€1400/month + tuition waiver + travel)","TCCM EMJMD: Bachelor's Chemistry/Physics/Materials Science. Quantum Chemistry core + advanced simulation codes. 4-week summer course. Stage 1 methods, Stage 2 thesis across 7 EU universities. Prepares for PhD/industry R&D."
54,"Erasmus Mundus Joint Master SPOT","SPOT",24,120,"International Psychoanalytic University Berlin (Germany - S1), ISCTE (Portugal - S2), University of Padua (Italy - S3), plus partners (Bosnia-Herzegovina, Serbia, Estonia); seven universities total","https://spot-psychology.eu","Social Psychology & Transformation","Bachelor's (≥180 ECTS) in Psychology","Psychology (≥100 ECTS in psychology)","NOT explicitly stated","English proficiency required","English-medium degrees","Internship/volunteer experience advantageous","Check official site (recently launched program)","Online application; mobility Berlin-Lisbon-Padua + internship (guaranteed in Bosnia/Serbia); modules on leadership, conflict, sustainability; student summer school; master's thesis","Erasmus Mundus scholarships (full coverage: €1400/month + tuition waiver + travel)","Bachelor's in psychology (180 ECTS, 100 in psych). S1 Berlin (foundations/research), S2 Lisbon (socio-environmental conflicts), S3 Padua + internship/thesis. Transformative leadership, conflict/cooperation, environment/sustainability."
55,"Erasmus Mundus Joint Master MARIHE","MARIHE",24,120,"Danube University Krems (Austria - S1), Tampere University (Finland - S2), plus specializations (Osnabrück, Budapest, Porto, Tsinghua, TISS Mumbai)","www.marihe.eu","Higher Education Research & Innovation","Bachelor's (≥180 ECTS, any field)","No discipline restriction","Strong academic record","IELTS 6.5 (no band <5.5), TOEFL iBT 92, PTE 62, Cambridge C1/C2","English-medium degrees (EU/EEA/Switzerland/Australia/Canada/NZ/UK/US)","Advantageous but not mandatory","November 23, 2025 (11pm CET)","Online portal application (CV, motivation letter, transcripts, recommendations, English proof); shortlisted submit 2-min video; mobility Austria-Finland + Asia/Europe specialization; internships","Erasmus Mundus (€1400/month + tuition waiver + travel)","Bachelor's ≥180 ECTS (any field). English: IELTS 6.5/TOEFL 92/PTE 62/Cambridge C1. Strong motivation for HE/research/innovation. Work exp advantageous. Deadline Nov 23, 2025."
56,"Erasmus Mundus Joint Master MemBioMed","MemBioMed",24,120,"Université Côte d'Azur (UniCA, France - S1), University of Genoa (UniGe, Italy - S2), Osnabrück University (UOS, Germany - S3), thesis at any partner","https://life.univ-cotedazur.eu/international/membiomed","Biomembrane Research","Bachelor's in biology or related sciences","Biology, biochemistry, biophysics, biomedical sciences","Top students prioritized for scholarships","English proficiency required (programme in English)","English-medium degrees","NOT required","Check official site (applications open for 2026-2028)","Online application for worldwide students; S1 UniCA (structure/function), S2 UniGe (pathologies/neurobiology), S3 UOS (nanoanalytics/research proposal), S4 thesis (academia/industry); lab rotations, summer school","15 Erasmus Mundus scholarships (€1400/month + tuition waiver + travel)","MemBioMed EMJM for biology/science graduates. S1 France (biomembranes basics), S2 Italy (pathology/neurobiology), S3 Germany (nanoanalytics), S4 thesis. Lab rotations. 15 scholarships. Lipids/proteins, neuroscience, nanomedicine."
57,"Erasmus Mundus Joint Master HumanResponse","HumanResponse",24,120,"ISCTE–University Institute of Lisbon (Portugal - S1), NTNU (Norway - S2), Makerere University (Uganda - S3), University of Cape Verde, National & Kapodistrian University of Athens (Greece), Rovuma University (Mozambique)","https://humanresponse.eu","Humanitarian Response & Health","Bachelor's degree (any field)","Social sciences, health, management, related disciplines","Competitive academic record","English proficiency required","English-medium degrees","Humanitarian/practical experience advantageous","January 9, 2026 (17:00 CET)","Online application (CV, transcripts, motivation, recommendations); mobility Portugal-Norway-Uganda + thesis fieldwork (25 partner institutions); summer schools, internships; South-North focus","Erasmus Mundus scholarships (€1400/month + tuition waiver + travel); 100 vacancies over 4 editions","HumanResponse EMJM: multidisciplinary humanitarian training. S1 Lisbon (logistics/leadership), S2 Norway (public health/design), S3 Uganda (social work), S4 thesis fieldwork. 7 universities (3 EU, 4 Africa)."
58,"Erasmus Mundus Joint Master i-MESC","i-MESC",24,120,"University of Warsaw (Poland - S1), University of Toulouse (France - S2), University of Basque Country (Spain - S3), University of Ljubljana (Slovenia - S3), University of Picardie Jules Verne (France - S3)","https://i-mesc.eu","Materials for Energy Storage & Conversion","Bachelor's in chemistry, materials science, physics, chemical engineering","Science/engineering fields related to energy materials","Physical chemistry/mathematics fundamentals","English proficiency (programme in English)","English-medium degrees","NOT required","February 15, 2026 (indicative)","Online application (Dec-Feb); Year 1 fundamentals (Poland/France), Year 2 applied tech/prototyping (Spain/Slovenia/France); lab practices, pilot lines, soft skills; VR/metaverse pedagogy","Erasmus Mundus (€1400/month + tuition waiver + travel); industrial scholarships (CIC EnergiGUNE, Umicore)","i-MESC EMJM: science/eng grads for batteries/supercaps/fuel cells. S1 Warsaw (fundamentals), S2 Toulouse, S3 Bilbao/Ljubljana/Amiens. AI/digital twins, lab/pilot practices. Soft skills + VR. Apply Dec 4-Feb 15."
59,"Erasmus Mundus Joint Master NORISK","NORISK",12,60,"University of Minho (Portugal), Universitat Politècnica de Catalunya (Spain), Université de La Rochelle (France), Università di Padova (Italy)","https://msc-norisk.org","Risk Assessment & Management - Infrastructures","Bachelor's in engineering or sciences","Civil/mechanical/chemical/electrical/environmental engineering, physics, chemistry, math, computer science, economics","Mathematical background expected","English proficiency (instruction in English)","English-medium degrees","NOT required","Applications open for 2026/2027","Online applications; mobility across Portugal/Spain/France/Italy; project-based learning, multidisciplinary engineering focus; industry links (43 associates)","Erasmus Mundus (€1400/month + tuition waiver + travel)","NORISK EMJM: 1-year for engineering/science grads. Risk/reliability/resilience/digitalization of critical infrastructures. Partners: Minho(PT)-UPC(ES)-La Rochelle(FR)-Padova(IT). Applications open 2026/27."
60,"Erasmus Mundus Joint Master in Imaging","EMJM Imaging",24,120,"Politecnico di Milano (Italy), Tampere University (Finland), Mid Sweden University (Sweden); three tracks: Visual AI, Image modelling/data-intensive imaging, Immersive Imaging","https://www.emjm-imaging.eu","Image Processing & Computer Vision","Bachelor's in computer/electrical engineering, ICT, or similar","Engineering fields with tech focus","≥30 ECTS in mathematics (linear algebra, statistics, probability)","English proficiency required","English-medium degrees","NOT required","January 9, 2026 (opens November 17, 2025)","Single consortium application; track assignment based on profile; mobility across Italy/Finland/Sweden; focuses on AI for imaging in healthcare, AR/VR, autonomous systems","Erasmus Mundus (€1400/month + tuition waiver + travel) for top students","EMJM Imaging: Bachelor's computer/electrical eng/ICT. 30 ECTS math (linear alg/stats), 60 ECTS computing. Tracks: Visual AI, data-intensive imaging, immersive. Apply Nov17-Jan9 2026."
61,"Erasmus Mundus Joint Master SPACEMED","SPACEMED",24,120,"Charité University Medicine (Germany), Jožef Stefan International Postgraduate School (Slovenia), Université de Caen Normandie (France)","https://www.space-med.eu","Space Physiology & Extreme Environments","Bachelor's (180 ECTS) in natural sciences/kinesiology or Master's in engineering/medical degree","Life sciences, psychology, kinesiology, engineering, medicine","Competitive academic record","B2 CEFR level (IELTS/TOEFL equivalent)","English-medium degrees","Experience in space/extreme environments advantageous","January 22, 2026 (11:59pm CET; opens October 22, 2025)","Online application; hands-on labs, field studies (parabolic flights, high altitude, underwater); master thesis (6 months at partner/research/industry); multidisciplinary focus","Erasmus Mundus (€1400/month + tuition waiver + travel)","SpaceMed EMJMD: Bachelor's life sciences/kinesiology (180 ECTS), Master's engineering, or medical degree. B2 English. Spaceflight effects (muscle/cardio/sleep), analogues (parabolic/Antarctic/bedrest). Hands-on labs."
